Track Name,Artist Name,Track ID,Album ID,Artist ID,Genre,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Key,Time Signature,Mode,Duration (ms),Popularity
Infinity,Jaymes Young,1SOClUWhOi8vHZYMz3GluK,6MuWCR3WPjwyKhqsTKLZ3z,6QrQ7OrISRYIfS5mtacaw2,pop,0.671,0.673,-6.941,0.0444,0.148,5.29e-05,0.304,0.494,121.963,11,4,0,237720,83
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,37BZB0z9T8Xu7U3e65qxFy,2fyOpT5c9kxR8zbDh6UtXh,1Xyo4u8uXC1ZmMpatF05PJ,pop,0.65,0.825,-4.645,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,0,4,1,191014,91
good 4 u,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,6s84u2TUpR3wdUv4NgKA2j,1McMsnEElThX1knmY4oliG,pop,0.563,0.664,-5.044,0.154,0.335,0,0.0849,0.688,166.928,9,4,1,178147,96
Too Good At Goodbyes,Sam Smith,1mXVgsBdtIVeCLJnSnmtdV,3TJz2UBNYJtlEly0sPeNrQ,2wY79sveU1sp5g7SokKOiI,pop,0.681,0.372,-8.237,0.0432,0.64,0,0.169,0.476,91.873,5,4,1,201000,81
Cover Me In Sunshine,P!nk,0UKUfxIkDAMZz7hMdiVX3m,061vVdNVxwouz0INdQeOkn,1KCSPY1glIKqW2TotWuXOR,pop,0.473,0.592,-6.859,0.138,0.0528,0,0.131,0.292,159.7,5,4,1,138573,70
Water Fountain,Alec Benjamin,4IhKLu7Vk3j2TLmnFPl6To,6jKZplJpy21R5lHaYHHjmZ,5IH6FPUwQTxPSXurCrcIov,pop,0.723,0.504,-5.572,0.0392,0.388,7.4e-05,0.087,0.551,133.975,8,4,1,218893,80
Bubblegum Bitch,MARINA,1yOL7ZiXGx5ULeLoktAUAg,1cb2YQ7Ii622olGiImJz2B,6CwfuxIqcltXDGjfZsMd9A,pop,0.495,0.856,-5.123,0.0311,0.000219,0,0.103,0.609,158.024,0,4,0,154667,56
WITHOUT YOU,The Kid LAROI,27OeeYzk6klgBh83TSvGMA,3YjfdLdpQcVI72uKhooZst,2tIP7SsRs7vjIcLrU85W8J,pop,0.662,0.413,-7.357,0.0299,0.213,0,0.134,0.467,93.005,0,4,1,161385,86
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,4iJyoBOLtHqaGxP12qzhQI,5dGWwsZ9iB2Xc3UKR0gif2,1uNFoZAHBGtllmzznpCI3s,pop,0.677,0.696,-6.181,0.119,0.321,0,0.42,0.464,90.03,0,4,1,198082,92
A-O-K,Tai Verdes,1sx0XsWUusUoPstbvokZjP,6E8lxwX7KMAO9nCx4A5tAR,2kCO8LXN1usaOPL3iEE28I,pop,0.731,0.626,-6.919,0.0805,0.125,0,0.183,0.862,82.488,11,4,1,173640,77
Happier Than Ever,Billie Eilish,4RVwu0g32PAqgUiJoXsdF8,0JGOiO34nwfUdDrD612dOp,6qqNVTkY8uBg9cP3Jd7DAH,pop,0.332,0.225,-8.697,0.0348,0.767,0.00349,0.128,0.297,81.055,0,3,1,298899,94
